image_name,composition,treatment,scale,magnification
img_052.png,Al 19Si,As-cast phosphorus-modified,100,
img_053.png,"0.4%.6% C, Mn present",Continuous casting as-cast microstructure with coring,,
img_054.png,,As-cast coring during solidification,,
img_055.png,0.8% C,Slow cooled from austenite at min,20,650
img_056.png,Fe Fe3C system,Chemically etched polished specimen,20,
img_057.png,Fe Fe3C system,Chemically etched polished specimen,10,
img_058.png,0.61C 0.08Si 0.60Mn,Austenitized at isothermally transformed at for h,20,
img_059.png,0.23C 0.06Si 0.52Mn,Austenitized at isothermally transformed at for h,20,
img_060.png,0.23C 0.06Si 0.52Mn,Austenitized at isothermally transformed at,20,
img_061.png,0.4C 0.19Si 0.73Mn,Austenitized at ASTM grain size No isothermally transformed at,10,
img_062.png,0.4C 0.19Si 0.73Mn,Austenitized at ASTM grain size No isothermally transformed at,10,
img_063.png,0.4C 0.19Si 0.73Mn,Austenitized at ASTM grain size No isothermally transformed at,10,
img_064.png,Ni 15Cr 17Co 5Mo 3.5Ti 4Al 0.06C,Solution-annealed and aged,2,
img_065.png,0.03C 2.0Mn,nital etch,100,
img_066.png,1.2C,nital etch,10,
img_067.png,0.57C,nital etch,10,
img_068.png,,Tempered after quenching etched surface for optical microscopy,20,
img_069.png,,Tempered after quenching examined using SEM,2,
img_070.png,,nital etch,10,
img_071.png,0.47C,Oil quenched examined using light microscopy,20,
img_072.png,0.47C,Oil quenched examined using SEM,2,
img_073.png,0.45C,Austenitized at for h oil quenched s air cooled min and oil quenched to room temperature picral etch,20,
img_074.png,"C: 0.36%.44%, Mn: 0.5%.8%, Si: 0.15%.4%, Cr: 0.4%.7%, Mo: 0.15%.3%, Ni: 1.0%.5%",Isothermal transformation at picral etch original magnification,20,
img_075.png,"C: 0.36%.44%, Mn: 0.5%.8%, Si: 0.15%.4%, Cr: 0.4%.7%, Mo: 0.15%.3%, Ni: 1.0%.5%",Isothermal transformation at picral etch original magnification,20,
img_076.png,"C: 0.81%, Si: 0.07%, Mn: 0.65%",Austenitized at C isothermal transformation at C for s picral etch original magnification,40,
img_077.png,"C: 0.81%, Si: 0.07%, Mn: 0.65%",Austenitized at isothermal transformation at for s picral etch original magnification,5,
img_078.png,"C: 0.81%, Si: 0.07%, Mn: 0.65%",Austenitized at isothermal transformation at for s picral etch original magnification,40,
img_079.png,"C: 0.81%, Si: 0.07%, Mn: 0.65%",Austenitized at isothermal transformation at for s picral etch original magnification,5,
img_080.png,"C: 0.81%, Si: 0.07%, Mn: 0.65%",Austenitized at isothermal transformation at for s picral etch original magnification,40,
img_081.png,"C: 0.81%, Si: 0.07%, Mn: 0.65%",Austenitized at isothermal transformation at for s picral etch original magnification,5,
img_082.png,,Austenitized at quenched to and held min for partial isothermal transformation water quenched nital etch original magnification,1,
img_083.png,0.9%.2%C,Cold-rolled ferrite-pearlite microstructure followed by heating to induce spheroidization original magnification,10,
img_084.png,"C: 0.16%, Ni: 3.0%",Fast cooling from to in s original magnification not specified,26,
img_085.png,"C: 0.16%, Ni: 3.0%",Intermediate cooling from to in s,26,
img_086.png,"C: 0.16%, Ni: 3.0%",Slow cooling from to in s,26,
img_087.png,,nital etch original magnification,20,
img_088.png,,nital etch quenched to martensite original magnification,10,
img_089.png,99.99% Al,Preferentially etched surface etchant not reported electron micrograph original magnification not specified,1,
img_090.png,99.0% Al,Direct chill cast transmission electron micrograph original magnification,1,
img_091.png,,Secondary electron micrograph,20,
img_092.png,,Secondary electron micrograph,20,
img_093.png,"Sn: 99.4%, Cd: 0.6%",Directionally solidified sample section parallel to growth direction quenched planar solid liquid interface G cm V m s T etched with mL HNO and mL lactic acid original magnification,100,
img_094.png,"Sn: 99.95%, Pb: 0.05%",Liquid decanted to reveal solid liquid interface oblique illumination unpolished and unetched original magnification,,
img_095.png,"Sn: 99.95%, Pb: 0.05%",Liquid decanted to reveal solid liquid interface bright-field illumination unpolished and unetched original magnification,,
img_096.png,"Sn: 99.95%, Pb: 0.05%",Liquid decanted to reveal solid liquid interface bright-field illumination unpolished and unetched original magnification,50,
img_097.png,"Cu: 90 at.%, Co: 10 at.%",Casting secondary electron micrograph etchant not reported original magnification,50,
img_098.png,"Cu: 90 at.%, Co: 10 at.%",Casting as-polished secondary electron micrograph original magnification,20,
img_099.png,,X-ray emission imaging using Co-K wavelength bright-field image original magnification,20,
img_100.png,"Ni: 75 at.%, Cu: 25 at.%",Etched with mL HNO and mL H O original magnification,1750,
img_101.png,Ni 25Cu,Etched using mL HNO and mL H O,175,
img_102.png,Pb 2.2Sb,Etched using mL acetic acid and mL hydrogen peroxide,500,
img_103.png,Pb 2.2Sb,Etched using mL acetic acid and mL hydrogen peroxide,500,
img_104.png,Ag 15Cu,Electron beam melted and resolidified at m s in s,0.5,32
img_105.png,Ag 15Cu,Electron beam melted and resolidified at m s in s,0.5,18
img_106.png,Ag 15Cu,Electron beam melted and resolidified at approximately m s in s,0.1,87
img_107.png,Al 12%Mn,Melt-spun and electropolished at - in mL methanol mL HClO and mL HNO,1,16
img_108.png,Al 15%Mn,Melt-spun and electropolished at - in mL methanol mL HClO and mL HNO,1,13
img_109.png,Ag 28%Cu,Melt-spun and etched with mL NH OH mL H O and mL H O used fresh,5,2000
img_110.png,Cd Sn,Directionally solidified from bottom to top and rapidly cooled to preserve the solid liquid interface Etched with aqueous FeCl solution,100,210
img_111.png,Ni33Al 31Cr 3Mo,Directionally solidified rod at mm h longitudinal section showing growth direction,20,
img_112.png,Ni33Al 31Cr 3Mo,Directionally solidified rod at mm h longitudinal section showing growth direction,20,
img_113.png,,Etchant not reported,50,200
img_114.png,CuAl2 Al,As-polished,40,250
img_115.png,CuAl2 Al,As-polished,,180
img_116.png,Pb Cd,Etchant not reported,20,
img_117.png,Pb Cd,Etchant not reported,20,
img_118.png,Cu 70Pb,Solidified at V m s and G mm,140,
img_119.png,Cu 37.7Pb,Upward directional solidification in longitudinal section V m s,1000,
img_120.png,Cu 35.4Pb,Upward directional solidification V m s,500,
img_121.png,Sn,Etched with FeCl HCl in H O,200,
img_122.png,Sn,Etched with FeCl HCl in H O,200,35
img_123.png,Ge,Etched using HNO -acetic-HF-bromine mixture,5,1500
img_124.png,Ge,Etched using HNO -acetic-HF-bromine after annealing post-deformation,40,250
img_125.png,Ge,Etched using HNO -acetic-HF-bromine after low-temperature deformation,40,200
img_126.png,Ge,Thin-foil electron micrograph,0.2,60
img_127.png,Au,Thin-foil transmission electron micrograph,0.5,24
img_128.png,Au,Thin-foil transmission electron micrograph,0.5,
img_129.png,Fe,Etched using nital,40,250
img_130.png,,Unetched,1000,10
img_131.png,,-,300,40
img_132.png,G86200,Thermally etched h at,100,100
img_133.png,,Directionally solidified peritectic reaction stage,,
img_134.png,,Directionally solidified peritectic reaction stage,,
img_135.png,,Directionally solidified peritectic reaction stage,,
img_136.png,J94214,-,40,250
img_137.png,G10170,Etched with picral,20,500
img_138.png,,As-polished,20,500
img_139.png,,Etched in hydrogen peroxide distilled water remainder hydrofluoric acid,50,300
img_140.png,,Etched in hydrogen peroxide distilled water remainder hydrofluoric acid,50,300
img_141.png,,Etched in hydrogen peroxide distilled water remainder hydrofluoric acid,50,300
img_142.png,,Etched in hydrogen peroxide distilled water remainder hydrofluoric acid,50,300
img_143.png,,-,10,
img_144.png,,-,50,
img_145.png,,Etched with nital,100,
img_146.png,,Etched with nital,100,
img_147.png,1.4% Cr,-,50,340
img_148.png,7% Cr,-,50,340
img_149.png,"15% Cr, low C",-,200,75
img_150.png,"15% Cr, medium C",-,200,75
img_151.png,"15% Cr, high C",-,200,75
img_152.png,Al 5.7Si (A319),Etched with HF,100,
img_153.png,Al 11.9Si (A339),Etched with HF,100,
img_154.png,Al 15Si (A390),Etched with HF,100,
img_155.png,Al 4.10Cu (alloy 201),Etched with mL HBF mL HF mL C H OH mL H O electrolyte,250,
img_156.png,Al 4.10Cu (alloy 201),Etched with mL HBF mL HF mL C H OH mL H O electrolyte,25,
img_157.png,Al 4.36Cu (alloy A206),Etched with mL HBF mL HF mL C H OH mL H O electrolyte,250,
img_158.png,Al 4.36Cu (alloy A206),Etched with mL HBF mL HF mL C H OH mL H O electrolyte,25,
img_159.png,Al 7.6Mg (A518),Etched with HF,25,
img_160.png,Al 4Mg 1.8Si (A512),Etched with HF,250,
img_161.png,Al 2.60Cu 2.37Mg 6.56Zn 0.03Cr 0.09Fe 0.05Mn 0.01Ni 0.06Si 0.018Ti 0.10Zr (Al 7050),Cooled at s s,200,
img_162.png,Al 2.60Cu 2.37Mg 6.56Zn 0.03Cr 0.09Fe 0.05Mn 0.01Ni 0.06Si 0.018Ti 0.10Zr (Al 7050),Cooled at s s,200,
img_165.png,,Cast by Properzi wheel-and-belt method etched using Tucker's reagent,10000,1
img_166.png,,Cast by Hazelett two-belt method etched using Tucker's reagent,,
img_167.png,,Direct-chill semicontinuous cast without grain refiner etched using Tucker's reagent,,
img_168.png,,Direct-chill semicontinuous cast with grain refiner etched using Tucker's reagent,,
img_169.png,,Direct-chill cast without grain refiner etched using Tucker's reagent,,
img_170.png,,Etched with Barker's reagent observed under polarized light,200,50
img_171.png,,Outlining of grains using modified Poulton reagent HCl HNO HF H O,500,
img_172.png,,Etched using Keller's reagent,50,
img_173.png,,Deep etched and observed under scanning electron microscopy,10,1000
img_174.png,,Etched using Keller's reagent,20,
img_175.png,,Deep etched and observed under scanning electron microscopy,10,1000
img_176.png,Al 10Si,Strontium-modified eutectic structure source Ref,50,100
img_177.png,A356.0,Strontium-modified eutectic structure source Ref,300,100
img_178.png,A356.0,Sodium-modified eutectic structure,100,100
img_179.png,A356,Etched using modified Poulton reagent HCl HNO HF H O,400,
img_180.png,A356.0,Observed under scanning electron microscopy on fractured tensile test surface,100,
img_181.png,Al 20Cu,-,200,
img_182.png,Al 20Cu,-,200,
img_183.png,A356,Etched using Keller's reagent,200,
img_184.png,A356,Etched using Keller's reagent,200,
img_185.png,Al Si,Etched using HF,200,
img_186.png,Al Si,Observed under scanning electron microscopy,100,
img_187.png,Al Si,Etched using HF,200,
img_188.png,Al Si,Observed under scanning electron microscopy,100,
img_189.png,Al Si,Observed under scanning electron microscopy,20,
img_190.png,Al 5.6Zn 2.5Mg 1.6Cu,Etched using dilute Keller's reagent,40,
img_191.png,Al Mn,Unpolished,,
img_192.png,Al Cu Mg,As-polished,400,
img_193.png,Al 3Cu,Observed under scanning electron microscopy,100,
img_194.png,Al 3Cu,Observed under scanning electron microscopy,50,
img_195.png,Al 1.0Si 0.5Fe,Etched using Tucker's reagent,,
img_196.png,Al 5.6Zn 2.5Mg 1.6Cu,As-polished,100,
img_197.png,,Observed under scanning electron microscopy,20,
img_198.png,Ti,Heat treated for h at,500,
img_199.png,Ti (α + β),-,50,
img_200.png,Ti 6Al 4V,-,50,
img_201.png,Ti 13V 11Cr 3Al,-,500,
img_202.png,Ti 6Al 4V,Etched using mL HF mL HNO mL H O,200,
img_203.png,Ti 6Al 4V,Etched using mL HF mL HNO mL H O,50,
img_204.png,Ti 6Al 4V,Etched using mL HF mL HNO mL H O,50,
img_205.png,Ti 6Al 4V,Slowly cooled from phase and etched using mL HF mL HNO mL H O,100,
img_206.png,Ti 24Al 17Nb,Observed under scanning electron microscopy,,
img_207.png,Ti 51Al 2Re,-,100,
img_208.png,Ti 50.5Al 2Re,-,50,
img_209.png,Ti 35Al,-,200,
img_210.png,Ti 51Al,-,100,
img_211.png,Ti 55Al,-,200,
img_212.png,Ti 48Al,-,50,
img_213.png,Ti 52Al,Transmission electron microscopy,50,
img_214.png,Ti 47Al with Ti 43Al 3Si seed,Directionally solidified at mm h in h,100,
img_215.png,,Directionally solidified ingot grown at mm h in h,200,
img_216.png,Ti5Si3 (off aligned part),Directionally solidified ingot grown at mm h in h,50,
img_217.png,Ti5Si3 (well aligned part),Directionally solidified ingot grown at mm h in h,50,
img_218.png,Ti 46Al 0.5Si 0.5Re,Directionally solidified ingot,10,
img_219.png,Ti 46Al 0.5Si 0.5W,Directionally solidified ingot,10,
img_220.png,Ti 46Al 0.5Si 0.5Mo,Directionally solidified ingot,10,
img_221.png,Ti 44Al,Directionally solidified at mm h in h,300,
img_222.png,Ti 48Al,Directionally solidified at mm h in h,300,
img_223.png,Ti 47.5Al 2.5Mo,Directionally solidified at mm h in h,200,
img_224.png,Ti 47.5Al 2.5Mo,Directionally solidified at mm h in h,200,
img_225.png,Ti Al 8Nb,As-cast,200,
img_226.png,Ti Al 8Nb 0.3B,Backscattered electron imaging,100,
img_227.png,Ti Al 8Nb 1B,Backscattered electron imaging,10,
img_228.png,Ti 44Al 8Nb 1B,As-cast ingot,100,
img_229.png,Ti 46Al 8Nb 1B,As-cast ingot,100,
img_230.png,Ti 48Al 2Cr 2Nb 1B,As-cast ingot,100,
img_231.png,Ti 50Al 2Cr 2Nb 1B,As-cast button form,100,
img_232.png,Ti 46Al 8Nb 1B,Investment cast test bars,50,
img_233.png,Ti 45Al 2Cr 2Nb,Arc-melted,25,
img_234.png,Ti alloy (Alpha case),Sand casting,250,
img_235.png,Ti alloy (Alpha case detail),Sand casting,50,
img_236.png,Ti 6Al 4V,Cylindrical casting macrostructure,1000,
img_237.png,Ti 6Al 4V,Cylindrical casting microstructure,100,
img_238.png,Ti 6Al 4V,Airfoil-shaped prototype spindle macrostructure,500,
img_239.png,Ti 6Al 4V,Airfoil-shaped prototype spindle microstructure,100,
img_240.png,Ti 6Al 4V,Float zone directional solidification bar macrostructure,1000,
img_241.png,Ti 6Al 4V,Float zone directional solidification bar microstructure,100,
img_242.png,Ti 6Al 4V,Laser deposited low-power Nd YAG macrostructure,500,
img_243.png,Ti 6Al 4V,Laser deposited high-power CO macrostructure,500,
img_244.png,Ti 6Al 4V,Laser deposited low-power Nd YAG microstructure,25,
img_245.png,Ti 6Al 4V,Laser deposited high-power CO microstructure,50,
img_246.png,Al 7Si (mass%),Simulation,50,
img_247.png,Al 7Si (mass%),Experimental micrograph,50,
img_248.png,Ti 52Al 48%Si 2Cr,Transmission electron microscopy,1,
img_249.png,6061 Al,Scanning electron microscopy,10,
img_250.png,AZ91,Transmission electron microscopy,0.5,
img_251.png,Ti 6Al 4V,Controlled cooling,100,
img_252.png,AZ80 (Zr free),Cast and aged,20,
img_253.png,Mg 10Al (wt%),Annealed at for min,2,
img_254.png,Mg 10Al (wt%),Annealed at for min,10,
img_255.png,Au 30Ni,Aged at for min,100,
img_256.png,Cu 3.1Co,,0.1,
img_257.png,Al Cu,,0.01,
img_258.png,Al Cu,,0.25,
img_259.png,Al Cu,,0.5,
img_260.png,Al Cu,,1,
img_261.png,Fe 28.5Cr 10.6Co (wt%),,0.1,
img_262.png,Fe Cu,-,0.5,
img_263.png,Fe 25Be (at.%),-,0.05,
img_264.png,Fe 25Be (at.%),-,0.05,
img_265.png,66.3Cu 30Ni 2.8Cr (wt%),,0.5,
img_266.png,Cu 37.8 at.% Zn,-,500,
img_267.png,Fe 20 wt% Cu,-,50,
img_268.png,Fe 3.1 wt% Ni,-,200,
img_269.png,,-,10,
img_270.png,,-,10,
img_271.png,U 3.8% Si,,20,
img_272.png,Cd 25Ni,,50,
img_273.png,"Fe based with W, Mo, Cr, V, and C",,200,
img_274.png,Zn 7Ni,,50,
img_275.png,Al 6U,,20,
img_276.png,U 3.8% Si,,20,
img_277.png,Al 6U,,20,
img_278.png,Zn 7Ni,,50,
img_279.png,Cu 20Sn,,200,
img_280.png,Cu 70Sn,,100,
img_281.png,Cu 20Sn,,100,
img_282.png,Sb 14Ni,,50,
img_283.png,Sb 14Ni,,50,
img_284.png,Sb 14Ni,,50,
img_285.png,Cd 10Cu,,100,
img_286.png,Cd 10Cu,,100,
img_287.png,Sn 50 wt% Sb,,,
img_288.png,Sn 17Co,,50,
img_289.png,Bi 40Au,,50,
img_290.png,Sn 17Co,,50,
img_291.png,Fe 1.12%C 1%Nb,,100,
img_292.png,,Unidirectionally solidified first stage of peritectic reaction,,
img_293.png,,Unidirectionally solidified subsequent peritectic transformation of stage a,,
img_294.png,,Unidirectionally solidified advanced peritectic transformation stage,,
img_295.png,Fe 1.86C (wt%),Plate martensite formation as-quenched condition,40,
img_296.png,Fe 30Ni 0.38C (wt%),As-quenched plate martensite structure,50,
img_297.png,Fe 20Ni 1.2C (wt%),Cooled to to reveal plate martensite structure,30,
img_298.png,Fe 0.2C (wt%),Tempered at for hours after martensitic transformation Nital etch,20,
img_299.png,Fe 0.2C (wt%),Water-quenched condition before tempering,100,
img_300.png,Fe 0.2C (wt%),Tempered at for s,100,
img_301.png,Fe 0.2C (wt%),Tempered at for s,100,
img_302.png,Fe 0.2C (wt%),Tempered at for s,100,
img_303.png,Fe 1.2C (wt%),Water-quenched condition before tempering,10,
img_304.png,Fe 1.2C (wt%),Tempered at for s,10,
img_305.png,Fe 1.2C (wt%),Tempered at for s,10,
img_306.png,Fe 1.2C (wt%),Tempered at for s,10,
img_307.png,Ni 50.3Ti 2W (at.%),Water quenched from polished surface observed for relief effects,100,
img_308.png,Cu 26.7Zn 4Al (wt%),Solution heated at quenched in ice bath then cooled to liquid nitrogen temperature Ms,200,
img_309.png,Cu 11.8Al (wt%),Heated to held hour water quenched observed in polarized light,100,
img_310.png,Cu 11.4Al 5Mn 2.5Ni 0.4Ti (wt%),Melt spun at wheel speed of m s examined under transmission electron microscopy,2,
img_311.png,Ni 37.5Al (at.%),Splat-cooled observed under transmission electron microscopy,500,
img_312.png,Ni 37.5Al (at.%),Splat-cooled observed under transmission electron microscopy,500,
img_313.png,Ti 44.7Ni 9Nb (at.%),deformed observed under high-resolution transmission electron microscopy HRTEM,0.002,
img_314.png,Ti (martensitic phase),Observed under transmission electron microscopy,0.1,
img_315.png,ZrO2 (single crystal),Observed under scanning electron microscopy after martensitic transformation,3,
img_316.png,MgO PSZ,Observed under transmission electron microscopy,0.1,
img_317.png,HfO2,Observed under high-temperature transmission electron microscopy,0.1,
img_318.png,Ti Ni Fe,Observed under microscopy showing self-accommodation of R-phase,5,
img_319.png,Ti Ni Cu,Observed under microscopy showing self-accommodation of martensite phase,1,
img_320.png,Cu Zn,As-received sample showing multiple martensitic variants,100,
img_321.png,Cu Zn,After thermomechanical training,100,
img_322.png,,Observed using Nomarski differential interference contrast technique,20,
img_323.png,Fe 0.43C 2Si 3Mn (wt%),Partially transformed to upper bainite,1,
img_324.png,Fe 0.478C 4.87Ni (wt%),Transformed at,20,
img_325.png,Fe 0.485C 4.82Ni 1.55Si (wt%),Transformed at,20,
img_326.png,Fe 0.21C 8.81Ni (wt%),Transformed at for min,20,
img_327.png,Fe 0.41C 8.74Ni (wt%),Transformed at for min,20,
img_328.png,Fe 0.41C 8.74Ni (wt%),Transformed at for min,20,
img_329.png,Fe 0.41C 8.74Ni (wt%),Isothermal decomposition at for min,20,
img_330.png,Fe 0.3C 4Cr (wt%),Partially transformed at light micrograph view,50,
img_331.png,Fe 0.3C 4Cr (wt%),Partially transformed at transmission electron micrograph view,0.5,
img_332.png,,Austenitized isothermally transformed at and quenched,20,
img_333.png,,Formed at,2.5,
img_334.png,,Observed under TEM to show carbide precipitation within bainitic ferrite,0.5,
img_335.png,,TEM observation of lower bainite structure,0.5,
img_336.png,Fe 1.34C (wt%),Austenitized at for min and isothermally transformed at for s,1,
img_337.png,Fe 1.34C (wt%),Austenitized at for min and isothermally transformed at for s,2,
img_338.png,,Replica electron microscopy observation of mixed microstructure granular bainite austenite and martensite austenite boundaries delineated by irregular particles,1,
img_339.png,,Austenitized and isothermally transformed at under MPa pressure,10,
img_340.png,Cu 27.0Sn (wt%),Solution treated and isothermally transformed at for min,5,
img_341.png,Ti 4Ni (wt%),Solution treated at for min and isothermally transformed at for h etched in H O HNO HF,10,1000
img_342.png,NiCoCrAlYRe (coating) on IN 738 (substrate),Annealed at for h etched in chromic acid solution at Vdc,50,
img_343.png,NiCoCrAlYRe (coating) on IN 738 (substrate),Annealed at for h etched in chromic acid solution at Vdc,100,
img_344.png,,Rolled copper deformed to cold reduction cr,10,
img_345.png,,Plane strain compression at Tm and strain rate s to vM,5,
img_346.png,Fe,Rolled to cold reduction,1,
img_347.png,Fe 3Si,Cold rolled in orientation,0.5,
img_348.png,Fe 3Si,Cold rolled in orientation,0.5,
img_349.png,Fe Cr Ni,Cross rolled at,1,
img_350.png,Fe Cr Ni,Cross rolled at longitudinal cross section view,1,
img_351.png,Ni,Cold rolled and annealed h at,2,
img_352.png,Fe 3Si,Cold rolled in orientation as-rolled condition,0.5,
img_353.png,Fe 3Si,Annealed at for min after rolling,0.5,
img_354.png,Fe 3Si,Annealed at for min after rolling,0.5,
img_355.png,Fe 3Si,Annealed at for min after rolling,0.5,
img_356.png,Fe,Cold rolled in orientation as-rolled condition,1,
img_357.png,Fe,Annealed at for min after cold rolling,1,
img_358.png,,Rolled and partially recrystallized etched in nital,100,
img_359.png,Fe 0.07% O,Deformed and partially recrystallized etched in nital,35,
img_360.png,Fe 0.10%C,Cold rolled and annealed at for s etched in nital,25,
img_361.png,Fe 0.10%C,Cold rolled and annealed at for s etched in nital,25,
img_362.png,Fe 0.10%C,Cold rolled and annealed at for s etched in nital,20,
img_363.png,Al FeAl inclusions,Cold rolled and heated in HVEM at for s,8,
img_364.png,Al AlO,Cold rolled and annealed during recovery,1,
img_365.png,"Fe (high purity, zone refined)",Cold rolled annealed repeatedly for recrystallization normal grain growth at for min etched in nital,1000,
img_366.png,Fe 18Cr 8Ni,Rolled at recrystallized at for min then annealed at for h for secondary recrystallization electrolytic etch,500,
img_367.png,Ni based alloy,Solidification with columnar grain growth analyzed using electron backscatter diffraction EBSD,1800,
img_368.png,Fe C alloy screw in epoxy and phenolic resins,Mounted in thermosetting epoxy polished edge observed,50,
img_369.png,Fe C alloy screw in phenolic resin (Bakelite),Mounted in thermosetting phenolic resin polished edge observed,50,
img_370.png,Cu 30Zn,Abraded on -grit silicon carbide paper taper section prepared etched with aqueous ferric chloride,40,
img_371.png,Cu 30Zn,Abraded and polished until about m of metal removed etched with aqueous ferric chloride,40,
img_372.png,Cu 30Zn,Abraded and polished until about m of metal removed etched with aqueous ferric chloride,40,
img_373.png,Fe 18Ni 8Cr,Abraded on -grit SiC paper taper section prepared electrolytic etch in oxalic acid,20,
img_374.png,Fe 18Ni 8Cr,Abraded on -grit SiC paper polished until about m of metal removed electrolytic etch in oxalic acid,20,
img_375.png,Fe 18Ni 8Cr,Abraded on -grit SiC paper polished until about m of metal removed electrolytic etch in oxalic acid,20,
img_376.png,,Annealed taper section abraded on -grit silicon carbide paper polarized light used,50,150
img_377.png,,Annealed abraded on -grit silicon carbide paper and polished until m removed,50,
img_378.png,,Annealed abraded on -grit silicon carbide paper and polished until m removed,50,
img_379.png,,Annealed abraded on -grit silicon carbide paper and polished until m removed,50,
img_380.png,,Taper section abraded on -grit silicon carbide paper,40,1000
img_381.png,,Abraded on emery paper and lightly polished to remove scratches,40,
img_382.png,,Abraded on -grit silicon carbide paper and lightly polished,40,
img_383.png,,Abraded on -grit silicon carbide paper and polished longer than usual,40,
img_384.png,,Belt abraded on -mesh Al O taper section observed,,2000
img_385.png,,Belt abraded on -mesh Al O taper section observed,,
img_386.png,,Abraded on abrasive belt and polished briefly to remove scratches,5,
img_387.png,,Abraded on -grit silicon carbide paper and lightly polished,5,
img_388.png,,Abraded on -grit silicon carbide paper and polished for longer duration,5,
img_389.png,,Hardened but not tempered abusively ground taper section,40,1200
img_390.png,,Hardened dark-etching tempered bands from dry belt grinding,40,
img_391.png,,Hardened but not tempered polished true structure,40,
img_392.png,,Abraded on -grit silicon carbide paper,20,
img_393.png,,Abraded on -grit silicon carbide paper,20,
img_394.png,,Abraded on fine fixed-abrasive lap,20,
img_395.png,,Abraded on -grit silicon carbide paper,100,
img_396.png,,Abraded on fine fixed-abrasive lap,100,
img_397.png,,Abraded on -grit silicon carbide paper,20,
img_398.png,,Abraded on fine fixed-abrasive lap,20,
